U.S. Census Bureau
Source: Advance Monthly Manufacturers' Shipments, Inventories, and Orders
Computers and Electronic Products: U.S. Total
Not Seasonally Adjusted New Orders [Millions of Dollars]
Period: 1992 to 2023
Data Extracted on: November 20, 2023 (3:37 pm)

Period,Value
Jan-1992,NA
Feb-1992,19063
Mar-1992,21483
Apr-1992,16108
May-1992,18085
Jun-1992,21729
Jul-1992,17006
Aug-1992,17950
Sep-1992,22990
Oct-1992,18928
Nov-1992,21658
Dec-1992,26657
Jan-1993,18178
Feb-1993,18892
Mar-1993,22466
Apr-1993,17721
May-1993,18476
Jun-1993,21713
Jul-1993,17837
Aug-1993,19694
Sep-1993,24287
Oct-1993,21662
Nov-1993,22256
Dec-1993,24922
Jan-1994,19045
Feb-1994,20957
Mar-1994,22666
Apr-1994,19530
May-1994,20078
Jun-1994,26117
Jul-1994,20163
Aug-1994,21284
Sep-1994,27307
Oct-1994,23877
Nov-1994,24083
Dec-1994,29669
Jan-1995,21240
Feb-1995,22714
Mar-1995,27533
Apr-1995,22374
May-1995,24012
Jun-1995,28519
Jul-1995,21204
Aug-1995,23545
Sep-1995,31174
Oct-1995,27849
Nov-1995,27474
Dec-1995,33637
Jan-1996,22587
Feb-1996,26539
Mar-1996,30221
Apr-1996,23185
May-1996,24396
Jun-1996,29900
Jul-1996,23144
Aug-1996,25434
Sep-1996,30606
Oct-1996,29124
Nov-1996,28910
Dec-1996,33242
Jan-1997,23606
Feb-1997,29294
Mar-1997,33839
Apr-1997,25369
May-1997,26590
Jun-1997,35955
Jul-1997,27502
Aug-1997,28100
Sep-1997,36973
Oct-1997,29087
Nov-1997,29108
Dec-1997,38212
Jan-1998,26215
Feb-1998,29850
Mar-1998,36124
Apr-1998,26300
May-1998,28617
Jun-1998,37240
Jul-1998,24982
Aug-1998,27150
Sep-1998,36597
Oct-1998,29405
Nov-1998,30039
Dec-1998,39914
Jan-1999,25875
Feb-1999,29416
Mar-1999,37679
Apr-1999,28726
May-1999,30181
Jun-1999,37702
Jul-1999,29134
Aug-1999,30395
Sep-1999,40815
Oct-1999,34109
Nov-1999,33633
Dec-1999,44551
Jan-2000,30473
Feb-2000,31925
Mar-2000,41013
Apr-2000,32633
May-2000,32439
Jun-2000,46711
Jul-2000,30801
Aug-2000,33065
Sep-2000,43813
Oct-2000,34956
Nov-2000,35305
Dec-2000,43281
Jan-2001,29641
Feb-2001,31264
Mar-2001,36190
Apr-2001,24521
May-2001,25926
Jun-2001,33219
Jul-2001,23102
Aug-2001,24237
Sep-2001,31348
Oct-2001,25029
Nov-2001,26238
Dec-2001,34891
Jan-2002,21057
Feb-2002,23249
Mar-2002,27944
Apr-2002,22361
May-2002,22541
Jun-2002,27067
Jul-2002,19716
Aug-2002,20960
Sep-2002,25923
Oct-2002,20483
Nov-2002,21972
Dec-2002,28621
Jan-2003,20776
Feb-2003,21401
Mar-2003,26655
Apr-2003,20657
May-2003,21443
Jun-2003,26799
Jul-2003,20387
Aug-2003,22036
Sep-2003,29200
Oct-2003,25617
Nov-2003,23917
Dec-2003,32515
Jan-2004,21723
Feb-2004,23689
Mar-2004,30018
Apr-2004,22149
May-2004,22920
Jun-2004,27298
Jul-2004,19822
Aug-2004,21588
Sep-2004,30105
Oct-2004,24019
Nov-2004,23743
Dec-2004,31715
Jan-2005,22298
Feb-2005,23441
Mar-2005,30198
Apr-2005,21217
May-2005,21628
Jun-2005,30354
Jul-2005,20186
Aug-2005,23807
Sep-2005,29175
Oct-2005,23681
Nov-2005,23618
Dec-2005,31902
Jan-2006,21815
Feb-2006,24639
Mar-2006,33866
Apr-2006,24659
May-2006,23337
Jun-2006,31584
Jul-2006,24710
Aug-2006,25290
Sep-2006,33062
Oct-2006,25768
Nov-2006,28569
Dec-2006,34499
Jan-2007,22271
Feb-2007,26661
Mar-2007,29663
Apr-2007,23633
May-2007,25068
Jun-2007,30002
Jul-2007,23438
Aug-2007,26127
Sep-2007,32411
Oct-2007,26515
Nov-2007,25674
Dec-2007,34291
Jan-2008,23468
Feb-2008,25867
Mar-2008,31478
Apr-2008,23404
May-2008,24911
Jun-2008,31893
Jul-2008,22331
Aug-2008,24180
Sep-2008,31174
Oct-2008,23614
Nov-2008,24036
Dec-2008,29873
Jan-2009,18065
Feb-2009,21021
Mar-2009,26616
Apr-2009,18885
May-2009,19139
Jun-2009,25038
Jul-2009,19738
Aug-2009,20064
Sep-2009,26417
Oct-2009,21317
Nov-2009,21096
Dec-2009,26996
Jan-2010,18708
Feb-2010,19870
Mar-2010,26292
Apr-2010,20391
May-2010,20313
Jun-2010,24654
Jul-2010,19425
Aug-2010,21625
Sep-2010,27714
Oct-2010,20196
Nov-2010,21787
Dec-2010,29225
Jan-2011,20285
Feb-2011,21891
Mar-2011,26451
Apr-2011,20681
May-2011,21465
Jun-2011,26462
Jul-2011,19645
Aug-2011,22267
Sep-2011,28090
Oct-2011,22926
Nov-2011,21642
Dec-2011,28870
Jan-2012,19119
Feb-2012,22668
Mar-2012,26428
Apr-2012,21219
May-2012,21800
Jun-2012,24310
Jul-2012,18496
Aug-2012,19452
Sep-2012,24708
Oct-2012,19972
Nov-2012,19739
Dec-2012,27334
Jan-2013,17217
Feb-2013,18645
Mar-2013,23081
Apr-2013,19374
May-2013,20588
Jun-2013,24870
Jul-2013,18068
Aug-2013,18600
Sep-2013,25096
Oct-2013,20263
Nov-2013,20107
Dec-2013,25216
Jan-2014,17767
Feb-2014,19438
Mar-2014,25249
Apr-2014,19495
May-2014,19536
Jun-2014,25422
Jul-2014,18616
Aug-2014,19976
Sep-2014,24933
Oct-2014,19609
Nov-2014,18474
Dec-2014,24152
Jan-2015,16465
Feb-2015,17551
Mar-2015,24801
Apr-2015,18849
May-2015,18872
Jun-2015,24007
Jul-2015,18543
Aug-2015,19361
Sep-2015,23804
Oct-2015,19163
Nov-2015,18944
Dec-2015,24510
Jan-2016,17725
Feb-2016,19608
Mar-2016,24449
Apr-2016,19879
May-2016,20425
Jun-2016,24601
Jul-2016,19160
Aug-2016,20208
Sep-2016,24646
Oct-2016,20115
Nov-2016,19530
Dec-2016,25222
Jan-2017,18339
Feb-2017,19617
Mar-2017,24264
Apr-2017,19626
May-2017,20030
Jun-2017,23718
Jul-2017,19750
Aug-2017,20620
Sep-2017,25682
Oct-2017,21388
Nov-2017,21731
Dec-2017,25831
Jan-2018,18758
Feb-2018,19911
Mar-2018,24705
Apr-2018,20427
May-2018,21194
Jun-2018,24701
Jul-2018,20426
Aug-2018,21346
Sep-2018,25234
Oct-2018,22036
Nov-2018,22037
Dec-2018,27178
Jan-2019,19611
Feb-2019,20181
Mar-2019,25839
Apr-2019,21217
May-2019,21571
Jun-2019,24967
Jul-2019,20296
Aug-2019,21180
Sep-2019,25429
Oct-2019,21221
Nov-2019,20722
Dec-2019,26126
Jan-2020,19185
Feb-2020,20062
Mar-2020,24776
Apr-2020,19924
May-2020,19955
Jun-2020,23578
Jul-2020,19724
Aug-2020,20993
Sep-2020,25013
Oct-2020,22301
Nov-2020,22181
Dec-2020,27257
Jan-2021,18863
Feb-2021,19462
Mar-2021,25254
Apr-2021,20349
May-2021,20553
Jun-2021,24041
Jul-2021,19777
Aug-2021,21455
Sep-2021,25543
Oct-2021,21658
Nov-2021,22686
Dec-2021,27760
Jan-2022,20772
Feb-2022,20756
Mar-2022,26791
Apr-2022,21610
May-2022,22056
Jun-2022,26159
Jul-2022,21833
Aug-2022,23108
Sep-2022,27372
Oct-2022,23371
Nov-2022,23155
Dec-2022,28564
Jan-2023,20820
Feb-2023,21339
Mar-2023,27777
Apr-2023,22093
May-2023,22298
Jun-2023,26919
Jul-2023,22204
Aug-2023,23392
Sep-2023,28047
Oct-2023,NA
Nov-2023,NA
Dec-2023,NA
