U.S. Census Bureau
Source: Advance Monthly Manufacturers' Shipments, Inventories, and Orders
Motor Vehicles and Parts: U.S. Total
Not Seasonally Adjusted New Orders [Millions of Dollars]
Period: 1992 to 2023
Data Extracted on: November 20, 2023 (3:38 pm)

Period,Value
Jan-1992,NA
Feb-1992,23624
Mar-1992,24304
Apr-1992,25293
May-1992,25983
Jun-1992,24972
Jul-1992,16776
Aug-1992,22623
Sep-1992,22930
Oct-1992,26377
Nov-1992,24654
Dec-1992,21392
Jan-1993,23848
Feb-1993,27889
Mar-1993,27980
Apr-1993,27404
May-1993,27443
Jun-1993,27478
Jul-1993,16406
Aug-1993,23558
Sep-1993,26241
Oct-1993,30026
Nov-1993,28064
Dec-1993,25591
Jan-1994,27953
Feb-1994,32551
Mar-1994,32332
Apr-1994,31339
May-1994,32182
Jun-1994,32452
Jul-1994,20109
Aug-1994,31821
Sep-1994,31541
Oct-1994,32866
Nov-1994,32637
Dec-1994,29523
Jan-1995,31013
Feb-1995,35558
Mar-1995,35796
Apr-1995,32320
May-1995,32217
Jun-1995,33064
Jul-1995,18915
Aug-1995,31795
Sep-1995,33567
Oct-1995,34133
Nov-1995,32086
Dec-1995,28422
Jan-1996,30312
Feb-1996,34899
Mar-1996,30452
Apr-1996,34426
May-1996,35192
Jun-1996,34506
Jul-1996,22814
Aug-1996,32662
Sep-1996,34860
Oct-1996,34672
Nov-1996,33613
Dec-1996,27304
Jan-1997,33678
Feb-1997,37663
Mar-1997,35463
Apr-1997,36758
May-1997,35499
Jun-1997,36185
Jul-1997,24456
Aug-1997,35967
Sep-1997,37114
Oct-1997,40300
Nov-1997,36748
Dec-1997,32596
Jan-1998,32753
Feb-1998,39915
Mar-1998,39980
Apr-1998,38166
May-1998,38855
Jun-1998,33270
Jul-1998,20365
Aug-1998,36858
Sep-1998,40548
Oct-1998,44119
Nov-1998,40243
Dec-1998,35862
Jan-1999,39116
Feb-1999,44402
Mar-1999,45411
Apr-1999,42890
May-1999,42817
Jun-1999,45257
Jul-1999,26040
Aug-1999,44187
Sep-1999,44344
Oct-1999,45503
Nov-1999,41666
Dec-1999,37894
Jan-2000,40572
Feb-2000,43356
Mar-2000,46025
Apr-2000,39773
May-2000,41863
Jun-2000,44011
Jul-2000,25012
Aug-2000,38586
Sep-2000,41160
Oct-2000,41266
Nov-2000,36082
Dec-2000,30764
Jan-2001,32196
Feb-2001,36455
Mar-2001,41107
Apr-2001,35673
May-2001,40163
Jun-2001,38468
Jul-2001,23697
Aug-2001,38807
Sep-2001,33478
Oct-2001,38414
Nov-2001,36436
Dec-2001,31412
Jan-2002,36469
Feb-2002,37565
Mar-2002,38983
Apr-2002,42184
May-2002,44328
Jun-2002,40458
Jul-2002,28502
Aug-2002,43435
Sep-2002,40656
Oct-2002,46298
Nov-2002,39147
Dec-2002,32137
Jan-2003,40176
Feb-2003,41784
Mar-2003,44035
Apr-2003,40364
May-2003,42531
Jun-2003,42599
Jul-2003,29631
Aug-2003,40371
Sep-2003,45449
Oct-2003,48820
Nov-2003,39649
Dec-2003,38015
Jan-2004,38264
Feb-2004,44016
Mar-2004,50065
Apr-2004,43011
May-2004,41512
Jun-2004,44230
Jul-2004,26820
Aug-2004,42372
Sep-2004,43534
Oct-2004,42702
Nov-2004,39938
Dec-2004,39174
Jan-2005,37719
Feb-2005,42187
Mar-2005,43723
Apr-2005,42316
May-2005,43478
Jun-2005,45437
Jul-2005,28310
Aug-2005,45708
Sep-2005,47706
Oct-2005,46904
Nov-2005,40312
Dec-2005,39405
Jan-2006,39425
Feb-2006,42235
Mar-2006,49671
Apr-2006,39947
May-2006,46178
Jun-2006,47048
Jul-2006,27730
Aug-2006,45033
Sep-2006,41343
Oct-2006,43877
Nov-2006,40446
Dec-2006,39874
Jan-2007,38116
Feb-2007,41302
Mar-2007,46456
Apr-2007,40399
May-2007,45190
Jun-2007,44922
Jul-2007,31769
Aug-2007,46973
Sep-2007,41058
Oct-2007,45365
Nov-2007,41413
Dec-2007,36066
Jan-2008,37893
Feb-2008,41617
Mar-2008,38570
Apr-2008,37261
May-2008,36686
Jun-2008,37758
Jul-2008,26294
Aug-2008,33560
Sep-2008,33994
Oct-2008,34373
Nov-2008,27677
Dec-2008,25179
Jan-2009,22456
Feb-2009,23701
Mar-2009,25622
Apr-2009,23784
May-2009,21915
Jun-2009,22947
Jul-2009,18494
Aug-2009,26462
Sep-2009,28266
Oct-2009,30222
Nov-2009,27817
Dec-2009,28723
Jan-2010,28917
Feb-2010,27685
Mar-2010,32728
Apr-2010,31526
May-2010,31838
Jun-2010,36175
Jul-2010,28171
Aug-2010,37790
Sep-2010,39209
Oct-2010,39083
Nov-2010,34411
Dec-2010,34993
Jan-2011,32737
Feb-2011,35652
Mar-2011,43205
Apr-2011,35234
May-2011,36301
Jun-2011,38748
Jul-2011,30801
Aug-2011,39989
Sep-2011,39165
Oct-2011,41268
Nov-2011,37824
Dec-2011,36529
Jan-2012,37121
Feb-2012,41853
Mar-2012,44901
Apr-2012,42565
May-2012,45546
Jun-2012,45876
Jul-2012,35317
Aug-2012,46524
Sep-2012,42284
Oct-2012,46498
Nov-2012,43420
Dec-2012,38730
Jan-2013,40188
Feb-2013,44498
Mar-2013,47204
Apr-2013,46253
May-2013,47736
Jun-2013,46372
Jul-2013,36598
Aug-2013,48753
Sep-2013,47009
Oct-2013,51961
Nov-2013,47867
Dec-2013,41436
Jan-2014,42812
Feb-2014,48242
Mar-2014,51944
Apr-2014,49034
May-2014,51932
Jun-2014,51447
Jul-2014,45518
Aug-2014,52698
Sep-2014,52855
Oct-2014,56824
Nov-2014,48280
Dec-2014,49372
Jan-2015,46044
Feb-2015,49912
Mar-2015,58557
Apr-2015,54239
May-2015,53527
Jun-2015,56919
Jul-2015,47681
Aug-2015,56395
Sep-2015,57492
Oct-2015,57318
Nov-2015,52738
Dec-2015,50668
Jan-2016,47551
Feb-2016,57045
Mar-2016,59719
Apr-2016,54146
May-2016,53040
Jun-2016,56478
Jul-2016,42976
Aug-2016,58485
Sep-2016,57128
Oct-2016,54044
Nov-2016,51957
Dec-2016,49689
Jan-2017,48536
Feb-2017,53130
Mar-2017,59605
Apr-2017,50715
May-2017,55667
Jun-2017,56684
Jul-2017,41497
Aug-2017,57661
Sep-2017,54655
Oct-2017,55950
Nov-2017,53422
Dec-2017,48213
Jan-2018,49953
Feb-2018,55091
Mar-2018,60464
Apr-2018,56009
May-2018,54833
Jun-2018,57213
Jul-2018,46726
Aug-2018,62034
Sep-2018,56955
Oct-2018,61468
Nov-2018,56434
Dec-2018,51393
Jan-2019,52542
Feb-2019,56462
Mar-2019,60941
Apr-2019,55276
May-2019,57033
Jun-2019,56310
Jul-2019,47403
Aug-2019,58940
Sep-2019,54758
Oct-2019,56029
Nov-2019,50784
Dec-2019,48202
Jan-2020,49235
Feb-2020,54427
Mar-2020,46095
Apr-2020,18978
May-2020,24251
Jun-2020,49612
Jul-2020,49901
Aug-2020,57317
Sep-2020,58722
Oct-2020,57531
Nov-2020,53587
Dec-2020,54560
Jan-2021,50532
Feb-2021,51479
Mar-2021,59554
Apr-2021,49456
May-2021,48730
Jun-2021,52344
Jul-2021,46656
Aug-2021,55617
Sep-2021,52748
Oct-2021,55281
Nov-2021,54221
Dec-2021,55184
Jan-2022,49570
Feb-2022,54472
Mar-2022,65633
Apr-2022,57315
May-2022,57586
Jun-2022,61375
Jul-2022,49792
Aug-2022,64726
Sep-2022,63903
Oct-2022,62151
Nov-2022,61118
Dec-2022,60025
Jan-2023,56428
Feb-2023,59953
Mar-2023,70277
Apr-2023,57951
May-2023,63079
Jun-2023,65520
Jul-2023,52686
Aug-2023,68826
Sep-2023,64482
Oct-2023,NA
Nov-2023,NA
Dec-2023,NA
