U.S. Census Bureau
Source: Advance Monthly Manufacturers' Shipments, Inventories, and Orders
Primary Metals: U.S. Total
Not Seasonally Adjusted New Orders [Millions of Dollars]
Period: 1992 to 2023
Data Extracted on: November 20, 2023 (3:34 pm)

Period,Value
Jan-1992,NA
Feb-1992,10703
Mar-1992,11420
Apr-1992,10672
May-1992,10573
Jun-1992,11135
Jul-1992,9677
Aug-1992,10069
Sep-1992,9471
Oct-1992,9909
Nov-1992,9800
Dec-1992,10309
Jan-1993,11404
Feb-1993,11462
Mar-1993,13179
Apr-1993,10663
May-1993,10259
Jun-1993,10912
Jul-1993,9151
Aug-1993,9839
Sep-1993,10292
Oct-1993,10695
Nov-1993,10647
Dec-1993,10392
Jan-1994,11465
Feb-1994,12167
Mar-1994,13120
Apr-1994,11674
May-1994,11902
Jun-1994,12301
Jul-1994,10584
Aug-1994,11703
Sep-1994,12537
Oct-1994,12913
Nov-1994,12841
Dec-1994,13296
Jan-1995,14655
Feb-1995,14454
Mar-1995,15133
Apr-1995,13336
May-1995,13017
Jun-1995,12965
Jul-1995,10890
Aug-1995,13309
Sep-1995,12663
Oct-1995,13671
Nov-1995,13124
Dec-1995,12740
Jan-1996,13799
Feb-1996,14151
Mar-1996,13506
Apr-1996,13524
May-1996,13931
Jun-1996,13451
Jul-1996,12160
Aug-1996,13011
Sep-1996,12339
Oct-1996,12960
Nov-1996,12567
Dec-1996,12667
Jan-1997,14572
Feb-1997,14967
Mar-1997,14512
Apr-1997,14871
May-1997,14147
Jun-1997,14318
Jul-1997,13052
Aug-1997,13860
Sep-1997,14348
Oct-1997,14702
Nov-1997,14296
Dec-1997,13762
Jan-1998,14751
Feb-1998,15530
Mar-1998,14829
Apr-1998,14193
May-1998,13682
Jun-1998,13567
Jul-1998,11549
Aug-1998,13119
Sep-1998,12571
Oct-1998,12229
Nov-1998,12669
Dec-1998,12054
Jan-1999,12678
Feb-1999,14164
Mar-1999,13600
Apr-1999,13438
May-1999,13040
Jun-1999,13214
Jul-1999,12275
Aug-1999,13325
Sep-1999,12796
Oct-1999,12982
Nov-1999,13059
Dec-1999,12397
Jan-2000,14055
Feb-2000,14748
Mar-2000,14435
Apr-2000,13187
May-2000,12822
Jun-2000,13016
Jul-2000,11441
Aug-2000,12470
Sep-2000,12646
Oct-2000,12231
Nov-2000,11680
Dec-2000,10894
Jan-2001,12684
Feb-2001,12443
Mar-2001,12522
Apr-2001,11604
May-2001,12415
Jun-2001,12487
Jul-2001,10579
Aug-2001,11698
Sep-2001,10725
Oct-2001,10622
Nov-2001,10388
Dec-2001,9934
Jan-2002,11529
Feb-2002,11763
Mar-2002,11839
Apr-2002,12236
May-2002,12684
Jun-2002,12002
Jul-2002,10903
Aug-2002,12229
Sep-2002,11495
Oct-2002,11987
Nov-2002,10575
Dec-2002,10168
Jan-2003,12223
Feb-2003,12133
Mar-2003,11210
Apr-2003,11550
May-2003,11710
Jun-2003,11682
Jul-2003,10871
Aug-2003,11951
Sep-2003,11371
Oct-2003,13204
Nov-2003,12056
Dec-2003,11728
Jan-2004,13644
Feb-2004,14965
Mar-2004,16791
Apr-2004,14808
May-2004,15600
Jun-2004,15816
Jul-2004,15761
Aug-2004,17265
Sep-2004,15956
Oct-2004,14673
Nov-2004,15802
Dec-2004,15754
Jan-2005,16842
Feb-2005,17582
Mar-2005,18575
Apr-2005,16428
May-2005,16602
Jun-2005,16298
Jul-2005,14925
Aug-2005,18708
Sep-2005,19050
Oct-2005,18513
Nov-2005,18594
Dec-2005,17246
Jan-2006,19483
Feb-2006,18670
Mar-2006,20622
Apr-2006,19299
May-2006,21534
Jun-2006,21199
Jul-2006,19139
Aug-2006,21475
Sep-2006,19462
Oct-2006,19684
Nov-2006,18480
Dec-2006,18313
Jan-2007,21550
Feb-2007,20108
Mar-2007,22746
Apr-2007,23387
May-2007,22980
Jun-2007,20193
Jul-2007,20084
Aug-2007,22500
Sep-2007,20963
Oct-2007,22661
Nov-2007,22099
Dec-2007,21150
Jan-2008,24856
Feb-2008,25240
Mar-2008,26620
Apr-2008,27524
May-2008,26078
Jun-2008,27584
Jul-2008,26860
Aug-2008,24449
Sep-2008,21004
Oct-2008,16675
Nov-2008,14284
Dec-2008,12256
Jan-2009,12585
Feb-2009,11899
Mar-2009,11709
Apr-2009,11623
May-2009,11939
Jun-2009,14183
Jul-2009,14331
Aug-2009,15257
Sep-2009,14545
Oct-2009,15123
Nov-2009,14302
Dec-2009,14897
Jan-2010,18576
Feb-2010,18677
Mar-2010,21925
Apr-2010,20748
May-2010,20642
Jun-2010,20185
Jul-2010,20813
Aug-2010,21280
Sep-2010,20377
Oct-2010,19106
Nov-2010,21372
Dec-2010,20300
Jan-2011,23234
Feb-2011,21165
Mar-2011,25294
Apr-2011,22722
May-2011,23515
Jun-2011,23093
Jul-2011,22860
Aug-2011,24833
Sep-2011,23368
Oct-2011,23016
Nov-2011,23332
Dec-2011,23413
Jan-2012,24240
Feb-2012,24141
Mar-2012,24629
Apr-2012,23495
May-2012,22074
Jun-2012,20899
Jul-2012,20351
Aug-2012,21335
Sep-2012,19978
Oct-2012,21833
Nov-2012,20512
Dec-2012,20050
Jan-2013,22643
Feb-2013,22123
Mar-2013,22207
Apr-2013,22632
May-2013,22363
Jun-2013,21797
Jul-2013,21086
Aug-2013,21712
Sep-2013,21241
Oct-2013,22938
Nov-2013,20944
Dec-2013,19584
Jan-2014,22090
Feb-2014,21313
Mar-2014,23068
Apr-2014,22460
May-2014,22331
Jun-2014,22856
Jul-2014,22333
Aug-2014,21826
Sep-2014,22726
Oct-2014,22962
Nov-2014,19934
Dec-2014,20099
Jan-2015,20767
Feb-2015,19890
Mar-2015,20157
Apr-2015,19921
May-2015,19086
Jun-2015,20030
Jul-2015,17671
Aug-2015,18104
Sep-2015,17923
Oct-2015,18296
Nov-2015,16796
Dec-2015,16106
Jan-2016,16865
Feb-2016,17034
Mar-2016,17860
Apr-2016,16802
May-2016,16719
Jun-2016,17211
Jul-2016,15888
Aug-2016,17206
Sep-2016,16546
Oct-2016,16735
Nov-2016,16742
Dec-2016,15925
Jan-2017,17764
Feb-2017,17964
Mar-2017,20008
Apr-2017,18179
May-2017,19040
Jun-2017,19409
Jul-2017,17882
Aug-2017,20061
Sep-2017,18102
Oct-2017,19837
Nov-2017,19008
Dec-2017,17715
Jan-2018,20204
Feb-2018,20202
Mar-2018,22425
Apr-2018,21909
May-2018,22368
Jun-2018,22216
Jul-2018,20985
Aug-2018,22355
Sep-2018,20471
Oct-2018,21894
Nov-2018,20316
Dec-2018,19488
Jan-2019,20565
Feb-2019,20789
Mar-2019,21763
Apr-2019,21019
May-2019,20446
Jun-2019,20202
Jul-2019,18998
Aug-2019,19532
Sep-2019,18356
Oct-2019,18637
Nov-2019,17494
Dec-2019,16488
Jan-2020,17983
Feb-2020,18075
Mar-2020,17070
Apr-2020,13672
May-2020,14146
Jun-2020,15924
Jul-2020,15319
Aug-2020,16613
Sep-2020,17587
Oct-2020,18121
Nov-2020,17927
Dec-2020,19216
Jan-2021,21522
Feb-2021,22339
Mar-2021,22617
Apr-2021,22502
May-2021,23595
Jun-2021,24948
Jul-2021,24488
Aug-2021,26438
Sep-2021,25881
Oct-2021,26048
Nov-2021,25034
Dec-2021,27190
Jan-2022,26664
Feb-2022,26638
Mar-2022,30244
Apr-2022,27901
May-2022,28629
Jun-2022,29045
Jul-2022,25341
Aug-2022,27008
Sep-2022,26607
Oct-2022,26023
Nov-2022,24855
Dec-2022,24642
Jan-2023,26580
Feb-2023,26530
Mar-2023,29408
Apr-2023,26312
May-2023,27988
Jun-2023,28182
Jul-2023,25632
Aug-2023,27607
Sep-2023,25607
Oct-2023,NA
Nov-2023,NA
Dec-2023,NA
