U.S. Census Bureau
Source: Advance Monthly Manufacturers' Shipments, Inventories, and Orders
Defense Capital Goods: U.S. Total
Not Seasonally Adjusted New Orders [Millions of Dollars]
Period: 1992 to 2023
Data Extracted on: November 20, 2023 (3:37 pm)

Period,Value
Jan-1992,NA
Feb-1992,6366
Mar-1992,7185
Apr-1992,5767
May-1992,6200
Jun-1992,5955
Jul-1992,3224
Aug-1992,4367
Sep-1992,6323
Oct-1992,9912
Nov-1992,7827
Dec-1992,12145
Jan-1993,6535
Feb-1993,5351
Mar-1993,8643
Apr-1993,5272
May-1993,4135
Jun-1993,4746
Jul-1993,5757
Aug-1993,6108
Sep-1993,5768
Oct-1993,6215
Nov-1993,5259
Dec-1993,9142
Jan-1994,9478
Feb-1994,4605
Mar-1994,6316
Apr-1994,3363
May-1994,5135
Jun-1994,5993
Jul-1994,4382
Aug-1994,4615
Sep-1994,5726
Oct-1994,6786
Nov-1994,6171
Dec-1994,11588
Jan-1995,5046
Feb-1995,6005
Mar-1995,8269
Apr-1995,4805
May-1995,3921
Jun-1995,5741
Jul-1995,3592
Aug-1995,5422
Sep-1995,6464
Oct-1995,4132
Nov-1995,4992
Dec-1995,10336
Jan-1996,6648
Feb-1996,5028
Mar-1996,14001
Apr-1996,5124
May-1996,5834
Jun-1996,6766
Jul-1996,2467
Aug-1996,3642
Sep-1996,5382
Oct-1996,5252
Nov-1996,13511
Dec-1996,14816
Jan-1997,5080
Feb-1997,5322
Mar-1997,6599
Apr-1997,6052
May-1997,3675
Jun-1997,5622
Jul-1997,3699
Aug-1997,4180
Sep-1997,4837
Oct-1997,4434
Nov-1997,6273
Dec-1997,8724
Jan-1998,6242
Feb-1998,4619
Mar-1998,5611
Apr-1998,5945
May-1998,2629
Jun-1998,4553
Jul-1998,3293
Aug-1998,3598
Sep-1998,7232
Oct-1998,4494
Nov-1998,5789
Dec-1998,10122
Jan-1999,7757
Feb-1999,5640
Mar-1999,8708
Apr-1999,4312
May-1999,4254
Jun-1999,4243
Jul-1999,4821
Aug-1999,2654
Sep-1999,4280
Oct-1999,6952
Nov-1999,4517
Dec-1999,9762
Jan-2000,7946
Feb-2000,5059
Mar-2000,5331
Apr-2000,2839
May-2000,3716
Jun-2000,25477
Jul-2000,2891
Aug-2000,3965
Sep-2000,4165
Oct-2000,4385
Nov-2000,6605
Dec-2000,7219
Jan-2001,4789
Feb-2001,5277
Mar-2001,10366
Apr-2001,4900
May-2001,4817
Jun-2001,4562
Jul-2001,3648
Aug-2001,3669
Sep-2001,7306
Oct-2001,17533
Nov-2001,5715
Dec-2001,11181
Jan-2002,4236
Feb-2002,8084
Mar-2002,12122
Apr-2002,5254
May-2002,3908
Jun-2002,5640
Jul-2002,2965
Aug-2002,5534
Sep-2002,7315
Oct-2002,3890
Nov-2002,5703
Dec-2002,11811
Jan-2003,6608
Feb-2003,8724
Mar-2003,12154
Apr-2003,8530
May-2003,6482
Jun-2003,7487
Jul-2003,4174
Aug-2003,7956
Sep-2003,6601
Oct-2003,8342
Nov-2003,7846
Dec-2003,15307
Jan-2004,8965
Feb-2004,9352
Mar-2004,12427
Apr-2004,7633
May-2004,4829
Jun-2004,8601
Jul-2004,4561
Aug-2004,5784
Sep-2004,7652
Oct-2004,9526
Nov-2004,7772
Dec-2004,11833
Jan-2005,6627
Feb-2005,6288
Mar-2005,9874
Apr-2005,5286
May-2005,4837
Jun-2005,8661
Jul-2005,4271
Aug-2005,4611
Sep-2005,6015
Oct-2005,8557
Nov-2005,6515
Dec-2005,10844
Jan-2006,3614
Feb-2006,9083
Mar-2006,12395
Apr-2006,6019
May-2006,4273
Jun-2006,10681
Jul-2006,5377
Aug-2006,7658
Sep-2006,13085
Oct-2006,6789
Nov-2006,11105
Dec-2006,13050
Jan-2007,9144
Feb-2007,8992
Mar-2007,8707
Apr-2007,6008
May-2007,6251
Jun-2007,6437
Jul-2007,6724
Aug-2007,10536
Sep-2007,6905
Oct-2007,9448
Nov-2007,6443
Dec-2007,18335
Jan-2008,10420
Feb-2008,10981
Mar-2008,12749
Apr-2008,7021
May-2008,8127
Jun-2008,12070
Jul-2008,6610
Aug-2008,9462
Sep-2008,13407
Oct-2008,8283
Nov-2008,8204
Dec-2008,19864
Jan-2009,7336
Feb-2009,8910
Mar-2009,10735
Apr-2009,8121
May-2009,9542
Jun-2009,7460
Jul-2009,6033
Aug-2009,8150
Sep-2009,9645
Oct-2009,7326
Nov-2009,6957
Dec-2009,13343
Jan-2010,12516
Feb-2010,11693
Mar-2010,15313
Apr-2010,10485
May-2010,10345
Jun-2010,11421
Jul-2010,8378
Aug-2010,10257
Sep-2010,12797
Oct-2010,8519
Nov-2010,9826
Dec-2010,15877
Jan-2011,14542
Feb-2011,10829
Mar-2011,15774
Apr-2011,10785
May-2011,10655
Jun-2011,12784
Jul-2011,8052
Aug-2011,10062
Sep-2011,12559
Oct-2011,7312
Nov-2011,7787
Dec-2011,11945
Jan-2012,7829
Feb-2012,9619
Mar-2012,12843
Apr-2012,6062
May-2012,6263
Jun-2012,14710
Jul-2012,9366
Aug-2012,5364
Sep-2012,10597
Oct-2012,6326
Nov-2012,6440
Dec-2012,23756
Jan-2013,5710
Feb-2013,9150
Mar-2013,8330
Apr-2013,5358
May-2013,6923
Jun-2013,14311
Jul-2013,6436
Aug-2013,6845
Sep-2013,11668
Oct-2013,6301
Nov-2013,6982
Dec-2013,10921
Jan-2014,6218
Feb-2014,9090
Mar-2014,12633
Apr-2014,15311
May-2014,6749
Jun-2014,13797
Jul-2014,5426
Aug-2014,6030
Sep-2014,8982
Oct-2014,7804
Nov-2014,6857
Dec-2014,10866
Jan-2015,6703
Feb-2015,8388
Mar-2015,11490
Apr-2015,6159
May-2015,6386
Jun-2015,13682
Jul-2015,8480
Aug-2015,5483
Sep-2015,6352
Oct-2015,7019
Nov-2015,13020
Dec-2015,12773
Jan-2016,8870
Feb-2016,6631
Mar-2016,17532
Apr-2016,11519
May-2016,6512
Jun-2016,9310
Jul-2016,5591
Aug-2016,8968
Sep-2016,12882
Oct-2016,9859
Nov-2016,14706
Dec-2016,17626
Jan-2017,8181
Feb-2017,9208
Mar-2017,12906
Apr-2017,9362
May-2017,7078
Jun-2017,12467
Jul-2017,10139
Aug-2017,8838
Sep-2017,12532
Oct-2017,7753
Nov-2017,9217
Dec-2017,17761
Jan-2018,6402
Feb-2018,7970
Mar-2018,13714
Apr-2018,8881
May-2018,10227
Jun-2018,14797
Jul-2018,7157
Aug-2018,12342
Sep-2018,16487
Oct-2018,8612
Nov-2018,13252
Dec-2018,17372
Jan-2019,7668
Feb-2019,7914
Mar-2019,16786
Apr-2019,9007
May-2019,9414
Jun-2019,9604
Jul-2019,5969
Aug-2019,10817
Sep-2019,15443
Oct-2019,11788
Nov-2019,8402
Dec-2019,21005
Jan-2020,9875
Feb-2020,16721
Mar-2020,21243
Apr-2020,11136
May-2020,12702
Jun-2020,14790
Jul-2020,11630
Aug-2020,13266
Sep-2020,14161
Oct-2020,12372
Nov-2020,13965
Dec-2020,17564
Jan-2021,11450
Feb-2021,12358
Mar-2021,18818
Apr-2021,10315
May-2021,9606
Jun-2021,13288
Jul-2021,9380
Aug-2021,9058
Sep-2021,15868
Oct-2021,9873
Nov-2021,11015
Dec-2021,15447
Jan-2022,8434
Feb-2022,11500
Mar-2022,16156
Apr-2022,9799
May-2022,10261
Jun-2022,13281
Jul-2022,9531
Aug-2022,13508
Sep-2022,15646
Oct-2022,10317
Nov-2022,13187
Dec-2022,19879
Jan-2023,11190
Feb-2023,11945
Mar-2023,17639
Apr-2023,18402
May-2023,12938
Jun-2023,14145
Jul-2023,8545
Aug-2023,12070
Sep-2023,15453
Oct-2023,NA
Nov-2023,NA
Dec-2023,NA
